Driver,n_races,latent_ability,latent_ability_0_10,rank
VER,139,4.599255745219216,10.0,1
HAM,140,4.367049567318647,9.417960089462918,2
OCO,113,3.6495445310503767,7.619486978647093,3
LEC,137,3.5048448461849184,7.256787792969533,4
SAI,136,3.408332449733978,7.014873184564591,5
PER,139,3.379445872129098,6.942467096161265,6
BOT,138,3.1570139730437257,6.3849270521591635,7
NOR,121,3.030682414296506,6.068268771074465,8
ZHO,62,2.875386139190482,5.679008541709868,9
ALO,105,2.8204519708596822,5.5413124704435,10
GAS,139,2.738742215045662,5.336501645021087,11
RIC,119,2.6152500309777897,5.026960441523602,12
VET,95,2.6039895861084146,4.998735402966767,13
STR,136,2.483482475107621,4.696676479555962,14
ALB,95,2.450925310622504,4.615069826039737,15
RAI,77,2.4202147097378663,4.538091704471031,16
HUL,88,2.3548488858929173,4.374248009153037,17
PIA,45,2.351310638222132,4.365379160889045,18
SAR,34,2.2628160208463486,4.143561638004406,19
RUS,125,2.0698569846119925,3.65989724456498,20
MAG,115,1.9842407807711364,3.445294652702008,21
KVY,36,1.9738593394863386,3.419272893887146,22
GRO,50,1.6923364981852729,2.7136175541089718,23
TSU,79,1.5979767637199658,2.4770987331928143,24
LAT,56,1.5279009200129674,2.3014490662856026,25
GIO,57,0.7442130925105709,0.3370844781745446,26
MSC,38,0.6097324548610121,0.0,27
