Driver,n_races,coef_const,pval_const,coef_Tyre_Management_minmax_0_10,pval_Tyre_Management_minmax_0_10,coef_overall_pace_score_minmax_0_10,pval_overall_pace_score_minmax_0_10,coef_overtake_total_score_minmax_0_10,pval_overtake_total_score_minmax_0_10,coef_Stability_minmax_0_10,pval_Stability_minmax_0_10,coef_Car_Score_Scaled_GP,pval_Car_Score_Scaled_GP,rsquared,adj_rsquared
AIT,1,,,,,,,,,,,,,,
ALB,95,-35.39704167396766,0.1304392123052707,4.4681098147396705,0.09403847313870786,0.6819918672826853,0.0011393984658337305,1.4772860982699842,0.01670734238108038,0.34940117100323553,0.06581870711264058,-0.12407601467958992,0.4065325265515146,0.34678389576892743,0.3100863618233616
ALO,105,-70.62136021670874,0.008084087272095412,8.014288025782232,0.0076979049185891095,1.3311483990245288,5.674623806425222e-06,1.3088107181403221,0.31671777379353055,0.39999681419423544,0.30907656514708304,0.10753852576212818,0.5699458657622343,0.3664487454239269,0.3344512073140241
BEA,2,,,,,,,,,,,,,,
BOT,138,-8.84307485916106,0.035811938888277835,0.8280433570900805,0.07475870541557014,0.9285205037844534,5.700806290831917e-05,-0.25952832255649905,0.6630279314623166,0.6787740816590772,0.010602400764533596,0.44351225020821083,0.0020848833914841078,0.5968652882029443,0.5815950339682073
COL,8,24.854992499388345,0.838070484928418,-57.89792908188815,0.8401431306387543,1.2601943114008844,0.4568198335488707,1.088401351886074e-13,0.8385053753213823,110.72301828575178,0.838070484928418,-0.6873215107462455,0.3294389016715701,0.2907629177424059,-0.24116489395078955
DEV,10,-19.17180074118771,0.5416317247918183,23.802671872577644,0.5386937742552816,0.9873244217488986,0.18688200213288383,-3.5638928348805816e-13,0.5412966923815686,-60.31005132458736,0.5416317247918185,0.24947375822588452,0.5187108181265693,0.5185982908004432,0.27789743620066476
DOO,0,,,,,,,,,,,,,,
ERI,21,0.022128945426706507,0.7069511999803055,0.7518318400328742,0.12187277960588168,-0.4213047437464931,0.4814436610154583,8.053307405345011,0.04107325712625991,0.18056790820339402,0.7069511999803023,-0.08330181252078526,0.7905812967495538,0.3721013560432802,0.2151266950541002
FIT,0,,,,,,,,,,,,,,
GAS,139,-5.831262122810748,0.28133266001686413,1.1414252581425939,0.03899740001411206,1.147380373660119,6.2370207516377124e-09,0.8747693879176047,0.29886190105586435,0.17718610906281523,0.4910403938318144,-0.20691671684168045,0.13574694463210796,0.2837358491473505,0.2568086254310854
GIO,57,10.798284222615305,0.6094287416906079,-1.0206065429776785,0.6451247883418935,0.6283099459559808,0.06713169584647183,3.3056731944643514,0.025802061100711402,0.20248026352389034,0.8384939249610417,0.09749405462368153,0.5331833520504348,0.22075711637285833,0.14436075523294245
GRO,50,-30.946527218712383,0.7694494663325782,1.977398963803501,0.8684268190081837,0.42906538082007534,0.2971243089607529,3.265931643436598,0.06037165934631209,2.064262546935171,0.1902551467917103,0.5626563243240186,0.019691103916287683,0.2587459095809108,0.1745124902151053
HAM,140,-14.208640415589223,0.3180348041499741,1.2109639604940585,0.33691679426973054,1.0361503216981547,5.3002845038005674e-05,-0.14044993057727212,0.8341347259228018,1.3583304579309887,0.19634459988839645,-0.16609973844816994,0.14749077940053196,0.2729269965176485,0.24579740683547124
HAR,17,0.01934790177770638,0.841812161271623,0.7346777923833454,0.16244207816235307,-0.8769420669802164,0.3791468956506001,9.916416745132999,0.13807877552419112,0.13117221544205007,0.8418121612716553,0.05281104386738852,0.8700220925064325,0.357657342817161,0.1435431237562147
HUL,88,9.797099553159645,0.6389433236063631,-1.012516241657944,0.672849314219198,0.6864867845780227,0.04485000061189904,0.9968489148328112,0.3251007647155497,0.33949728584671507,0.32780903219118207,0.47959887802370327,0.005086560299342587,0.2041999068092245,0.1556755108829576
KUB,21,28.85645660319969,0.12585457592966054,-5.127648883753705,0.04412018779867133,0.8952922724645264,0.3135725178678371,-0.4833203167832225,0.851983494382536,2.1338145754294295,0.1957281925802506,0.043277229582652274,0.7173169696771646,0.6713604752012609,0.5618139669350145
KVY,36,-512.1794562896382,0.06778646476575163,48.1145159238565,0.10470746130108022,1.2579836285687829,0.04188396136768163,0.24338207312701154,0.86957030674075,10.564423687351201,0.377624152366819,-0.2862967986313019,0.2684952204038784,0.2141727953446102,0.08320159456871179
LAT,56,-15.772761963461988,0.6422648062384528,2.164735900572188,0.5089785927466205,0.030540866435898595,0.920818854821802,2.2332723380799457,0.7622127477175595,0.18339396574810504,0.9346912550376197,0.05305678297007216,0.7617088468743708,0.016782493713603408,-0.08153925691503638
LAW,6,-15.296220768849652,0.38664486073880233,78.50836009368528,0.3834773759557313,1.501718932136639,0.1873673731544157,4.8606552826838414e-14,0.38550716201001545,-101.50167138348732,0.38664486073880233,-0.44678823965759085,0.5288326817647666,0.8303210552677484,0.5758026381693708
LEC,137,-17.433699014526184,0.16304066776842194,2.0316990791399485,0.07424488837503689,1.3732169173790187,5.18211431770771e-09,0.3108129554916768,0.6414521207188767,0.6155773871151574,0.36377044707464823,-0.2134902869903918,0.2145641621984988,0.3763996768057033,0.35259813775248594
MAG,115,23.480561762065626,0.05209867636786014,-2.2989674814510015,0.09439610036920718,1.1317847545672834,1.1890590748813056e-06,2.6678124460333112,0.04949020338878301,0.038158306099096484,0.8379128695663749,-0.13151876702024204,0.31604312060225365,0.3239067797583235,0.29289332928852185
MAZ,18,0.42100540983152457,0.45330284513059915,-2.485759980497908,0.5044284114239455,0.5580590831850073,0.4610591525571892,-1.8086424372145524e-15,0.4734865948247924,3.188104470225193,0.45330284513059915,0.050636506102739245,0.8063895696189189,0.05747746279861354,-0.14449165231596917
MSC,38,344.43290321466037,0.00769956178946975,1.4978943947513264,0.2520861683929384,-0.31098555758214624,0.40283778778475854,-4.031511274525065e-12,0.0076699137262333005,-41.08100361941,0.0058509333550131,0.12116609584244761,0.6060198581936609,0.2772004213029049,0.1895883511578026
NOR,121,-23.8463024396754,0.07109065888544573,1.9415189590525515,0.19698411668873503,1.3939544779778668,2.3705393754670856e-11,1.2221142705353107,0.3378306254518082,1.213362949597959,0.009996188438911577,-0.0256764530184286,0.8576338226132912,0.4230030414181205,0.3979162171319518
OCO,113,-8.394149926832071,0.07001263571871956,1.1943555160680446,0.011819810328945466,1.1390224970069298,5.5612791575162786e-06,-1.8757042744474046,0.09497947451877754,0.4367930916794336,0.02661647074979994,0.041160585012582455,0.7932562130638261,0.3535767069731094,0.3233700110372735
PER,139,6.396530437516018,0.6804845257263092,-0.6242795643038699,0.7130735675444233,1.6076180713037922,3.3186284755213497e-14,1.4040485414225605,0.07581059273652825,0.1253786062578508,0.8026998003861117,0.07261599429703697,0.6363067753517495,0.36700711269196595,0.34321038760519773
PIA,45,-12.091993495565758,0.7553911522486404,1.0617633998286595,0.8096618777495102,1.3344375032220008,1.59936119463731e-06,-3.5143360297458006e-13,0.7560537872942481,0.6778606352680482,0.03474189319062689,0.2052585481447627,0.2886676502462136,0.6266390651901778,0.5893029717091955
RAI,77,-6.493094424852201,0.7955713724047971,5.025722632669667,0.017341622170715904,0.6295348644455446,0.07043385944548271,1.9559209390845675,0.021112138705977373,-3.4776465090017576,0.06206488060136414,-0.12100201794809184,0.49274226773252805,0.4637798953612625,0.42601791616135143
RIC,119,-34.026860820441975,0.3379678621761407,3.9088124644702114,0.3299437709166724,1.247060844809565,1.4952057481170352e-07,0.7770521206943848,0.17428739112053945,0.3418245113384194,0.083930365893994,0.051045087312728624,0.7586845650590136,0.31623094875966984,0.28597568100567283
RUS,125,-29.708371309241635,0.08001825538262704,1.5740886709410946,0.3738991514279296,1.3622317437242348,4.192444038986121e-13,-0.5492138512255554,0.7474310238370583,2.3742412471802297,1.4151359037627464e-05,-0.15858497917059597,0.3589605297453422,0.5065789771508338,0.4858470014008688
SAI,136,-19.431288279999762,0.38519416172259247,2.078631028234792,0.40219024339270815,1.4855575466141482,3.764409317692678e-10,1.3727817620779086,0.09941962656199199,0.6058741277001762,0.19538688884357544,-0.1407873629876088,0.3245866740380854,0.27513639845703,0.24725702916691572
SAR,34,46.104227769673074,0.1985471392369098,-5.050667734258746,0.20853672944107624,0.5000978454814293,0.14458989617603102,5.266772433352805e-13,0.1985155895520507,0.7227531501926056,0.21625790941329315,-0.09455205064775599,0.6369647549253126,0.15546056701718092,0.0389723693643782
SIR,19,-3.0809405209572045,0.03370441825609702,26.872551414789875,0.030987834170516173,0.05842712816664464,0.9188122764661055,7.1810852586609535,0.15126221048890207,-26.55725969638641,0.033704418256096935,0.05796047619372641,0.7756614655325615,0.42379364665907004,0.2591632599902328
STR,136,-13.331799808574623,0.14126746496875187,1.7165218199729317,0.0851450210274235,0.9319661278633826,2.853078114305872e-07,1.5874597622985598,0.1625854434576057,0.26596500217775343,0.17961368663071264,0.22199729662128395,0.08022853664565414,0.2976847086054687,0.2706725820133713
TSU,79,17.391022744071044,0.23945071475762536,-1.4900492735036586,0.3581323576599571,1.1485060036772192,0.0001246439183356552,6.675072491591987e-17,0.06573379000499555,-0.23667454045570038,0.3410731335048125,0.040461822582118064,0.8115187313752534,0.20568037008076767,0.16274417386891737
VAN,21,0.12370825157284404,0.20216761820796858,-0.5289971629677228,0.5346199932822417,0.6170536536259086,0.24189335162161602,5.0054308032783155,0.019453253204679635,1.0663471564148352,0.20216761820796608,0.17488098404138644,0.48284554355928544,0.34848294305588345,0.1856036788198543
VER,139,-10.954111371841439,0.5208295030309978,1.0465955416671586,0.5715022990485079,1.3512544190799802,0.00017882957346915802,0.3495909555865463,0.597177547600051,0.9018764958562344,0.05627758106146529,-0.16801954874430214,0.31786014290708814,0.14886218217570357,0.11686451985148183
VET,95,6.394852487776452,0.8216488316753896,-2.3742305832878197,0.4665817262484282,1.0324177129112364,6.709701355608467e-06,0.6712706455509128,0.36445514458006123,2.2620466296795905,0.01349026841709678,0.006163437892498139,0.9736417649017011,0.462015837449682,0.4317920080929226
ZHO,62,38.56184931922155,0.2193142160199201,-3.8921549026889135,0.2682550073421729,0.7993724071604331,0.005037132712032166,-7.050016489012914e-13,0.21985748713104145,0.004931186194607584,0.981877256328259,0.06381528087596508,0.6500189924108515,0.2086237678172389,0.15308859362897498
