Year,Driver,TotalScore
2018,Sebastian Vettel,750.7538972314863
2018,Max Verstappen,747.3495168789157
2018,Daniel Ricciardo,723.5157713955115
2018,Sergio Perez,610.5105654309591
2018,Valtteri Bottas,532.1096208473567
2018,Carlos Sainz,421.0470772746305
2018,Nico Hulkenberg,400.0955716452484
2018,Kimi Raikkonen,399.9124436865816
2018,Lewis Hamilton,365.04897063886875
2018,Charles Leclerc,362.6224010444731
2018,Fernando Alonso,360.2789115633682
2018,Esteban Ocon,351.96855312351516
2018,Romain Grosjean,277.5788373720495
2018,Pierre Gasly,262.0284051889991
2018,Kevin Magnussen,218.7285809665072
2018,Marcus Ericsson,199.98852955595152
2018,Stoffel Vandoorne,189.8304163252106
2018,Brendon Hartley,143.08962797063904
2018,Sergey Sirotkin,84.76999481999482
2018,Lance Stroll,77.97058724306609
2019,Charles Leclerc,870.2353280913853
2019,Max Verstappen,769.9802053415854
2019,Alexander Albon,761.8135675710869
2019,Daniil Kvyat,737.7666149655043
2019,Daniel Ricciardo,605.3602962335211
2019,Sebastian Vettel,586.7990753855172
2019,Nico Hulkenberg,569.6874261942073
2019,Kimi Raikkonen,534.8980032865553
2019,Sergio Perez,510.0676699420895
2019,Valtteri Bottas,486.89585516156205
2019,Pierre Gasly,461.73199452856863
2019,Carlos Sainz,454.92063807122156
2019,Lando Norris,416.9450592676072
2019,Lance Stroll,347.99575485752575
2019,Kevin Magnussen,330.2740871719138
2019,Lewis Hamilton,262.85125267807865
2019,Antonio Giovinazzi,237.033215895748
2019,Romain Grosjean,220.5237610190033
2019,George Russell,39.8664421937668
2019,Robert Kubica,35.3235093318036
2020,Alexander Albon,761.6604876656828
2020,Sergio Perez,608.030811967968
2020,Carlos Sainz,531.5876479146392
2020,Pierre Gasly,499.28611382658755
2020,Charles Leclerc,484.33837647122385
2020,Daniil Kvyat,425.20806412234566
2020,Daniel Ricciardo,390.39468017107407
2020,Lando Norris,382.70288480157006
2020,Lance Stroll,323.044285067635
2020,Sebastian Vettel,312.2884644255838
2020,Valtteri Bottas,312.0553431698758
2020,Esteban Ocon,301.14080481592794
2020,Lewis Hamilton,285.7401986359223
2020,Kimi Raikkonen,278.2542382541046
2020,George Russell,243.37312815279492
2020,Max Verstappen,186.9716161643197
2020,Antonio Giovinazzi,145.1705245817616
2020,Romain Grosjean,93.19362419968715
2020,Kevin Magnussen,80.00977067067745
2020,Nicholas Latifi,54.906313979540556
2020,Nico Hulkenberg,47.753228120516496
2020,Jack Aitken,7.243367935409458
2020,Pietro Fittipaldi,4.346020761245675
2021,Carlos Sainz,1868.066167255702
2021,Sergio Perez,1807.572906147515
2021,Daniel Ricciardo,1668.9096384293605
2021,Fernando Alonso,1664.5704396842925
2021,Lando Norris,1628.5373655833564
2021,Lewis Hamilton,1479.3906455698582
2021,Sebastian Vettel,1432.2925898595186
2021,Pierre Gasly,1410.670704004005
2021,Valtteri Bottas,1393.1757979040185
2021,Lance Stroll,1351.0657117417993
2021,Charles Leclerc,1310.5528689027647
2021,Kimi Raikkonen,1227.1275297523825
2021,Esteban Ocon,1197.061220219769
2021,Yuki Tsunoda,1160.7470226052947
2021,Antonio Giovinazzi,1051.3911213998424
2021,Max Verstappen,1020.6915359619061
2021,George Russell,866.6864435790166
2021,Nicholas Latifi,703.4188716745555
2021,Mick Schumacher,384.8748143669679
2021,Nikita Mazepin,225.4914468130384
2021,Robert Kubica,82.19336219336219
2022,Lewis Hamilton,1837.0086915270465
2022,Max Verstappen,1690.48382687208
2022,George Russell,1681.8580304016457
2022,Esteban Ocon,1659.3840110122942
2022,Fernando Alonso,1573.1067851167081
2022,Lando Norris,1573.0727658839644
2022,Sebastian Vettel,1571.6117367335737
2022,Carlos Sainz,1561.541421189313
2022,Charles Leclerc,1492.2741602081842
2022,Lance Stroll,1460.9131203145403
2022,Valtteri Bottas,1440.5302640261825
2022,Sergio Perez,1426.0859674805124
2022,Pierre Gasly,1421.1593904055046
2022,Daniel Ricciardo,1359.66610744555
2022,Zhou Guanyu,1268.902607523035
2022,Mick Schumacher,1246.4795209453937
2022,Yuki Tsunoda,1242.0008007231631
2022,Kevin Magnussen,1226.2828173193363
2022,Alexander Albon,1051.2181045836323
2022,Nicholas Latifi,731.7761039924013
2022,Nico Hulkenberg,119.3810507674144
2022,Nyck de Vries,48.955540809555416
2023,Sergio Perez,4757.445514245321
2023,George Russell,4373.506997324842
2023,Lewis Hamilton,4062.934070321138
2023,Lance Stroll,3963.0810509446455
2023,Pierre Gasly,3931.3300553339905
2023,Oscar Piastri,3809.6408923335703
2023,Carlos Sainz,3781.7627919004412
2023,Esteban Ocon,3780.5106120112027
2023,Fernando Alonso,3677.1925999620344
2023,Yuki Tsunoda,3593.2329171603915
2023,Lando Norris,3454.895436276436
2023,Charles Leclerc,3350.9728568549162
2023,Alexander Albon,3221.4637667260063
2023,Zhou Guanyu,3126.413351972557
2023,Valtteri Bottas,3022.971930971814
2023,Nico Hulkenberg,2942.1754023972526
2023,Max Verstappen,2934.3651482019222
2023,Kevin Magnussen,2868.2602107014563
2023,Logan Sargeant,2061.370212791733
2023,Daniel Ricciardo,1053.1228634088893
2023,Nyck de Vries,1026.3265622874494
2023,Liam Lawson,626.8846259068332
2024,Lewis Hamilton,3995.186803902517
2024,Charles Leclerc,3685.9328534072574
2024,Oscar Piastri,3616.82726223995
2024,George Russell,3467.2116689566083
2024,Nico Hulkenberg,3433.962812754391
2024,Sergio Perez,3387.7478694562
2024,Lando Norris,3340.4305193235095
2024,Fernando Alonso,3260.779710079105
2024,Carlos Sainz,3164.3013293958625
2024,Max Verstappen,3009.989040014281
2024,Kevin Magnussen,2938.4809895793524
2024,Lance Stroll,2851.8383736718565
2024,Yuki Tsunoda,2821.0144732654803
2024,Pierre Gasly,2713.3613194429936
2024,Esteban Ocon,2545.7240172955803
2024,Alexander Albon,2359.9220986816044
2024,Valtteri Bottas,2349.887643917379
2024,Zhou Guanyu,2151.2131054923993
2024,Daniel Ricciardo,1852.046479294344
2024,Logan Sargeant,1102.020115100495
2024,Liam Lawson,895.8414719055382
2024,Franco Colapinto,855.2615968194752
2024,Oliver Bearman,601.3152986532482
2024,Jack Doohan,144.31224279835394
